Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
SLC16A4	MCT4, MCT5	ENSG00000168679	O15374	Microtubules, Cytosol
SLC24A1	CSNB1D, HsT17412, KIAA0702, NCKX, NCKX1, RODX	ENSG00000074621	O60721	Microtubules
SLC26A1	EDM4, SAT-1	ENSG00000145217	Q9H2B4	Microtubules
SLC29A4	ENT4, FLJ34923	ENSG00000164638	Q7RTT9	Microtubules, Cytokinetic bridge
SLC38A3	G17, SN1	ENSG00000188338	Q99624	Cytosol
SLC38A6	NAT-1	ENSG00000139974	Q8IZM9	Cell Junctions
SLITRK4	DKFZp547M2010	ENSG00000179542	Q8IW52	Microtubules
SLN	MGC12301, MGC125854, MGC125855	ENSG00000170290	O00631	Microtubules
SNX10		ENSG00000086300	Q9Y5X0	Nucleoplasm, Microtubules
SPRY2	hSPRY2	ENSG00000136158	O43597	Actin filaments, Microtubules
SPTAN1		ENSG00000197694	Q13813	Vesicles, Microtubules
SPTLC3	C20orf38, FLJ11112, hLCB2b, LCB2B, SPTLC2L	ENSG00000172296	Q9NUV7	Microtubules
SRA1	SRA, STRAA1	ENSG00000213523	Q9HD15	Nucleoplasm
SRRM3	FLJ37078	ENSG00000177679		Plasma membrane
STK32B	HSA250839, STK32, STKG6, YANK2	ENSG00000152953	Q9NY57	Microtubules
SYNJ2	INPP5H	ENSG00000078269	O15056	Microtubules
SYTL5		ENSG00000147041	Q8TDW5	Nucleoplasm
TAGLN	DKFZp686P11128, SM22, SMCC, TAGLN1, WS3-10	ENSG00000149591	Q01995	Microtubules, Mitochondria
TBCA		ENSG00000171530	O75347	Microtubules
TCTN3	C10orf61, DKFZP564D116, JBTS18, TECT3	ENSG00000119977	Q6NUS6	Microtubules
TEKT2	TEKTB1	ENSG00000092850	Q9UIF3	Microtubules
TIMM17B	DXS9822, JM3	ENSG00000126768	O60830	Microtubules
TIPARP	DDF1, DKFZP434J214, DKFZp686N0351, PARP-1, PARP-7, PARP7, pART14, RM1	ENSG00000163659	Q7Z3E1	Microtubules
TMEM116	FLJ90167	ENSG00000198270	Q8NCL8	Microtubules
TMEM138	HSPC196, JBTS16	ENSG00000149483	Q9NPI0	Microtubules
TMEM200C	TTMA	ENSG00000206432	A6NKL6	Microtubules
TNFSF10	Apo-2L, CD253, TL2, TRAIL	ENSG00000121858	P50591	Microtubules
