Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
MAD1L1	HsMAD1, MAD1, PIG9, TP53I9, TXBP181	ENSG00000002822	Q9Y6D9	Nucleoplasm, Nuclear membrane
MAD2L1BP	CMT2, dJ261G23.1, KIAA0110	ENSG00000124688	Q15013	Nucleoplasm
MCM3AP	GANP, KIAA0572, Map80, SAC3	ENSG00000160294	O60318	Nuclear membrane, Cytosol
METRN	C16orf23, MGC2601	ENSG00000103260	Q9UJH8	Nuclear membrane
MFSD10	IT10C3, TETRAN	ENSG00000109736	Q14728	Nuclear membrane
MINDY3	C10orf97, CARP, DERP5, FAM188A, FLJ13397, my042	ENSG00000148481	Q9H8M7	Nucleoplasm, Nuclear membrane
MKRN1	RNF61	ENSG00000133606	Q9UHC7	Nucleoplasm, Cytosol
MLX	bHLHd13, MAD7, MXD7, TCFL4	ENSG00000108788	Q9UH92	Nucleoplasm
MPL	CD110, TPOR	ENSG00000117400	P40238	Plasma membrane
MRGPRF	GPR140, GPR168, MGC21621, mrgF	ENSG00000172935	Q96AM1	Nuclear membrane, Plasma membrane
MRPS14	HSMRPS14	ENSG00000120333	O60783	Nuclear membrane, Mitochondria
MRPS23	CGI-138, HSPC329, MRP-S23	ENSG00000181610	Q9Y3D9	Mitochondria
MRTO4	C1orf33, dJ657E11.4, MRT4	ENSG00000053372	Q9UKD2	Nucleoplasm, Nuclear membrane
MX1	IFI-78K, MxA	ENSG00000157601	P20591	Nuclear membrane, Cytosol
NANP	C20orf147, dJ694B14.3, HDHD4, MGC26833	ENSG00000170191	Q8TBE9	Nuclear membrane
NAV3	KIAA0938, POMFIL1	ENSG00000067798	Q8IVL0	Nuclear membrane
NBAS	NAG	ENSG00000151779	A2RRP1	Golgi apparatus
NDC1	FLJ10407, NET3, TMEM48	ENSG00000058804	Q9BTX1	Nuclear membrane
NDUFB4	B15	ENSG00000065518	O95168	Mitochondria
NHSL1	bA43P8.1, C6orf63, KIAA1357	ENSG00000135540	Q5SYE7	Nuclear membrane
NLRP10	CLR11.1, NALP10, NOD8, PAN5, Pynod	ENSG00000182261	Q86W26	Nucleoplasm
NR4A1	GFRP1, HMR, N10, NAK-1, NGFIB, NUR77, TR3	ENSG00000123358	P22736	Nucleoplasm
NRM	NRM29	ENSG00000137404	Q8IXM6	Nuclear membrane
NSUN3	FLJ22609	ENSG00000178694	Q9H649	Nucleoplasm, Nuclear membrane
NTRK3	TRKC	ENSG00000140538	Q16288	Nucleoli
NUDT9	MGC3037	ENSG00000170502	Q9BW91	Nuclear bodies, Mitochondria
NUP107	NUP84	ENSG00000111581	P57740	Nucleoplasm
NUP133	FLJ10814	ENSG00000069248	Q8WUM0	Nuclear membrane
NUP153	HNUP153	ENSG00000124789	P49790	Nuclear membrane
NUP155	KIAA0791, N155	ENSG00000113569	O75694	Nuclear membrane
NUP35	MP44	ENSG00000163002	Q8NFH5	Nucleoplasm, Nuclear membrane
NUP50	NPAP60L	ENSG00000093000	Q9UKX7	Nucleoplasm
NUP62	DKFZp547L134, FLJ20822, FLJ43869, IBSN, MGC841, p62, SNDI	ENSG00000213024	P37198	Nuclear membrane
PAPD7	LAK-1, POLK, POLS, TRF4, TRF4-1	ENSG00000112941	Q5XG87	Nucleoplasm
PCM1	PTC4	ENSG00000078674	Q15154	Centrosome
PHF11	BCAP, IGER, NY-REN-34	ENSG00000136147	Q9UIL8	Nucleoplasm
PHF20	C20orf104, dJ1121G12.1, TDRD20A	ENSG00000025293	Q9BVI0	Nucleoplasm
PHOX2A	ARIX, CFEOM2, FEOM2, PMX2A	ENSG00000165462	O14813	Nucleoplasm
PLCD4		ENSG00000115556	Q9BRC7	Cytosol
PLRG1	Cwc1, PRL1, Prp46, PRPF46, TANGO4	ENSG00000171566	O43660	Nuclear speckles
POM121	DKFZP586G1822, DKFZP586P2220, KIAA0618, POM121A	ENSG00000196313	Q96HA1	Nucleoplasm, Nuclear membrane
POM121C		ENSG00000272391		Nucleoplasm, Nuclear membrane
POMZP3	POM-ZP3, POM121	ENSG00000146707	Q6PJE2	Nucleoplasm, Nuclear membrane
PRNP	AltPrP, CD230, CJD, GSS, PRIP, PRP	ENSG00000171867	P04156	Nuclear membrane, Cytosol
PTGES3L-AARSD1		ENSG00000108825	Q9BTE6	Nuclear membrane, Cytosol
QRICH2	DKFZP434P0316	ENSG00000129646	Q9H0J4	Nucleoplasm, Nuclear membrane, Vesicles
RABAC1	PRA1, PRAF1, YIP3	ENSG00000105404	Q9UI14	Nuclear membrane
RADIL	FLJ10324, KIAA1849, RASIP2	ENSG00000157927	Q96JH8	Nucleoplasm, Nuclear membrane
RALBP1	RIP, RIP1, RLIP76	ENSG00000017797	Q15311	Cytosol
RAMP1		ENSG00000132329	O60894	Nucleoplasm, Nuclear membrane
RANBP17		ENSG00000204764	Q9H2T7	Nuclear bodies
RANBP2	ADANE, ANE1, NUP358	ENSG00000153201	P49792	Nuclear membrane, Vesicles
RANGAP1	Fug1, KIAA1835, SD	ENSG00000100401	P46060	Nuclear membrane
RAP1GAP2	GARNL4, KIAA1039	ENSG00000132359	Q684P5	Nuclear membrane, Cytosol
RB1CC1	ATG17, Cc1, DRAGOU14, FIP200, KIAA0203, PPP1R131	ENSG00000023287	Q8TDY2	Cytosol
RBMX2	CGI-79, Snu17	ENSG00000134597	Q9Y388	Nuclear membrane
RCC1	CHC1	ENSG00000180198	P18754	Nucleoplasm
RETREG3	DKFZp686B1036, FAM134C, FLJ33806	ENSG00000141699	Q86VR2	Nucleoplasm, Nuclear membrane
REXO5	NEF-sp	ENSG00000005189	Q96IC2	Nuclear membrane
RFX7	FLJ12994, RFXDC2	ENSG00000181827	Q2KHR2	Nucleoplasm, Nuclear membrane
RGPD1	RGP1	ENSG00000187627	P0DJD0	Nuclear membrane, Vesicles
RGPD2	RANBP2L2, RGP2	ENSG00000185304	P0DJD1	Nuclear membrane, Vesicles
RGPD3	RGP3	ENSG00000153165	A6NKT7	Nuclear membrane, Vesicles
RGPD4	DKFZp686P0288, RGP4	ENSG00000196862	Q7Z3J3	Nuclear membrane, Vesicles
RGPD5	BS-63, DKFZp686I1842, RGP5	ENSG00000015568	Q99666	Nuclear membrane, Vesicles
RGPD6	RGP6	ENSG00000183054	Q99666	Nuclear membrane, Vesicles
RGPD8	RanBP2alpha, RANBP2L1	ENSG00000169629	O14715	Nuclear membrane, Vesicles
RIN1		ENSG00000174791	Q13671	Nuclear membrane
RNF6	DKFZp686P0776	ENSG00000127870	Q9Y252	Nuclear membrane
SAMD15	C14orf174, FAM15A, FLJ35963	ENSG00000100583	Q9P1V8	Nucleoplasm, Nuclear membrane, Nucleoli
SCAI	C9orf126, FLJ36664, NET40	ENSG00000173611	Q8N9R8	Nucleoplasm, Nuclear membrane
SDCBP	MDA-9, SYCL	ENSG00000137575	O00560	Nucleoplasm, Cytosol
SEC11A	SEC11L1, sid2895, SPC18, SPCS4A	ENSG00000140612	P67812	Nuclear membrane
SEC11C	SEC11L3, SPC21, SPCS4C	ENSG00000166562	Q9BY50	Nuclear membrane
SIPA1L2	KIAA1389	ENSG00000116991	Q9P2F8	Nuclear bodies
SIX2		ENSG00000170577	Q9NPC8	Nucleoplasm
SLC16A3	MCT3, MCT4	ENSG00000141526	O15427	Plasma membrane
SLC2A13	HMIT	ENSG00000151229	Q96QE2	Nuclear membrane
SMIM13	C6orf228	ENSG00000224531	P0DJ93	Nucleoplasm, Nuclear membrane, Golgi apparatus
SMOX	C20orf16, dJ779E11.1, FLJ20746, MGC1010, PAO, PAOh1, SMO	ENSG00000088826	Q9NWM0	Nuclear membrane
